Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1667512253559,2.36364,22,0,0.003936,5,0,9,11.8333,24,0,0.1,7,0,36.5019,31,1,24,1
1667512253809,3.6,15,0,0.005472,5,0,9,11.16,25,0,0.1,7,0,36.9012,31,0,12,1
1667512254059,0,3,0,0.001824,1,0,9,11,7,0,0.1,2,0,37.1635,31,0,3,1
1667512254309,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512254559,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512254809,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512255059,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512255309,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512255559,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512255809,12,4,0,0.002336,1,0,9,13.2857,7,0,0.1,2,0,35.5855,31,0,3,1
1667512256059,16.4889,90,0,0.340672,18,0,9,13.9714,35,0,0.110912,10,0,35.8726,31,0,372,1
1667512256309,18.4581,812,62740,5.788,231,0,9,14.4576,118,0,0.80176,34,0,34.1653,31,11000,4176,1
1667512256559,18.4571,875,76791,6.28,250,0,9,13.5408,98,0,0.182528,28,0,36.2685,31,12500,4500,1
1667512256809,18.4571,875,87835,6.28,250,0,9,13.3673,98,0,0.153344,28,0,36.7281,31,12500,4500,1
1667512257059,17.7248,872,66985,6.00147,250,0,8.83333,13.5,98,274,0.219648,28,0,36.2263,31,12500,4500,1
1667512257309,18.4571,875,61491,6.28,250,0,9,14.2105,95,0,0.256608,27,0,35.7834,31,12500,4500,1
1667512257559,18.4571,875,68023,6.28,250,0,9,14.4286,98,0,0.267904,28,0,35.6194,31,12500,4500,1
1667512257809,18.4571,875,73053,6.28,250,0,9,13.2857,98,0,0.151168,28,0,36.7,31,12500,4500,1
1667512258059,18.4556,878,81093,6.28,250,0,9,13.3673,98,0,0.153344,28,0,36.5689,31,12500,4500,1
1667512258309,17.7257,875,78283,6.00147,250,0,8.85714,13.1277,94,0,0.142432,27,0,36.4967,31,12500,4500,1
1667512258559,18.4571,875,51740,6.28,250,0,9,13.8878,98,0,0.261632,28,0,35.6771,31,12500,4500,1
1667512258809,17.7257,875,59458,6.00147,250,0,8.83333,13.0612,98,0,0.146816,28,0,37.0713,31,12500,4500,1
1667512259059,18.4238,696,0,5.17424,207,0,9,13.5055,91,0,0.20064,26,0,35.9996,31,9778,3567,1
1667512259309,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512259559,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512259809,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512260059,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512260309,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512260559,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512260809,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667512261059,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
