Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1669217649445,0,0,0,0,0,0,7.33333,0,0,0,0,0,0,0,0,0,0,0
1669217649695,0,0,0,0,0,0,7.57143,0,0,0,0,0,0,0,0,0,0,0
1669217649945,0,0,0,0,0,0,7.33333,0,0,0,0,0,0,0,0,0,0,0
1669217650195,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
1669217650445,0,0,0,0,0,0,7.66667,0,0,0,0,0,0,0,0,0,0,0
1669217650695,0,0,0,0,0,0,7.28571,0,0,0,0,0,0,0,0,0,0,0
1669217650945,0,0,0,0,0,0,7.83333,0,0,0,0,0,0,0,0,0,0,0
1669217651195,0,0,0,0,0,0,7.66667,0,0,0,0,0,0,0,0,0,0,0
1669217651445,0,0,0,0,0,0,7.83333,0,0,0,0,0,0,0,0,0,0,0
1669217651695,0,0,0,0,0,0,7.57143,0,0,0,0,0,0,0,0,0,0,0
1669217651945,0,0,0,0,0,0,7.66667,0,0,0,0,0,0,0,0,0,0,0
1669217652195,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
1669217652445,0,0,0,0,0,0,7.66667,0,0,0,0,0,0,0,0,0,0,0
1669217652695,0,0,0,0,0,0,7.57143,0,0,0,0,0,0,0,0,0,0,0
1669217652945,0,0,0,0,0,0,7.66667,0,0,0,0,0,0,0,0,0,0,0
1669217653195,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
1669217653445,0,0,0,0,0,0,7.33333,0,0,0,0,0,0,0,0,0,0,0
1669217653695,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1669217653945,8,4,0,0.001568,1,0,7.83333,13.2857,7,0,0.1,2,0,31.5957,31,3,3,1
1669217654195,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1669217654445,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1669217654695,0,0,0,0,0,0,8.14286,0,0,0,0,0,0,0,0,0,0,0
1669217654945,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1669217655195,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1669217655445,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
