App name,No.,Time,Source,Destination,Protocol,Length,Info
Pandora,1,0,172.30.1.1,172.30.1.250,DNS,112,Standard query 0x5cc6 A graph.facebook.com
Pandora,2,0.032415,172.30.1.250,172.30.1.1,DNS,152,Standard query response 0x5cc6 A graph.facebook.com CNAME star.c10r.facebook.com A 157.240.241.17
Pandora,3,0.037028,172.30.1.1,172.30.1.250,TCP,108,49952  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM=1 TSval=2470257875 TSecr=0 WS=512
Pandora,4,0.03948,172.30.1.1,172.30.1.250,TCP,108,49954  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM=1 TSval=2470257875 TSecr=0 WS=512
Pandora,5,0.065445,172.30.1.1,172.30.1.250,DNS,112,Standard query 0x59b5 A sessions.bugsnag.com
Pandora,6,0.072694,172.30.1.250,172.30.1.1,TCP,96,"443  >  49952 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
Pandora,7,0.072801,172.30.1.1,172.30.1.250,TCP,88,49952  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0
Pandora,8,0.075823,172.30.1.1,172.30.1.250,TLSv1.3,604,Client Hello
Pandora,9,0.076077,172.30.1.250,172.30.1.1,TCP,88,443  >  49952 [ACK] Seq=1 Ack=518 Win=2096128 Len=0
Pandora,10,0.080149,172.30.1.250,172.30.1.1,TCP,96,"443  >  49954 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
Pandora,11,0.080337,172.30.1.1,172.30.1.250,TCP,88,49954  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0
Pandora,12,0.080964,172.30.1.1,172.30.1.250,TLSv1.3,604,Client Hello
Pandora,13,0.081132,172.30.1.250,172.30.1.1,TCP,88,443  >  49954 [ACK] Seq=1 Ack=518 Win=2096128 Len=0
Pandora,14,0.10237,172.30.1.250,172.30.1.1,DNS,128,Standard query response 0x59b5 A sessions.bugsnag.com A 35.190.88.7
