App name,No.,Time,Source,Destination,Protocol,Length,Info
Netflix,2,0.257457,172.30.1.1,172.30.1.250,DNS,120,Standard query 0x7848 A android.prod.ftl.netflix.com
Netflix,3,0.29977,172.30.1.250,172.30.1.1,DNS,360,Standard query response 0x7848 A android.prod.ftl.netflix.com CNAME mobile-ixanycast.ftl.netflix.com CNAME mobile.prod.dradis.netflix.com CNAME mobile.prod.us-east-1.internal.dradis.netflix.com CNAME apiproxy-device-prod-nlb-1-c582e7914e487bf4.elb.us-east-1.amazonaws.com A 18.209.154.243 A 35.171.10.11 A 52.73.71.11
Netflix,4,0.305856,172.30.1.1,172.30.1.250,TCP,108,45434  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=1634239758 TSecr=0 WS=512
Netflix,5,0.349023,172.30.1.250,172.30.1.1,TCP,96,"443  >  45434 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
Netflix,6,0.349333,172.30.1.1,172.30.1.250,TCP,88,45434  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0
Netflix,7,0.352169,172.30.1.1,172.30.1.250,TLSv1.3,636,Client Hello
Netflix,8,0.352508,172.30.1.250,172.30.1.1,TCP,88,443  >  45434 [ACK] Seq=1 Ack=550 Win=2096128 Len=0
Netflix,9,0.403521,172.30.1.250,172.30.1.1,TLSv1.3,300,"Server Hello, Change Cipher Spec, Application Data"
Netflix,10,0.403887,172.30.1.1,172.30.1.250,TCP,88,45434  >  443 [ACK] Seq=550 Ack=213 Win=67072 Len=0
Netflix,11,0.407043,172.30.1.1,172.30.1.250,TLSv1.3,152,"Change Cipher Spec, Application Data"
Netflix,12,0.407213,172.30.1.250,172.30.1.1,TCP,88,443  >  45434 [ACK] Seq=213 Ack=614 Win=2096640 Len=0
Netflix,13,0.40826,172.30.1.1,172.30.1.250,TLSv1.3,180,Application Data
Netflix,14,0.408325,172.30.1.250,172.30.1.1,TCP,88,443  >  45434 [ACK] Seq=213 Ack=706 Win=2096640 Len=0
Netflix,15,0.409545,172.30.1.1,172.30.1.250,TLSv1.3,996,Application Data
Netflix,16,0.409654,172.30.1.250,172.30.1.1,TCP,88,443  >  45434 [ACK] Seq=213 Ack=1616 Win=2095616 Len=0
Netflix,17,0.414116,172.30.1.1,172.30.1.250,TLSv1.3,1144,Application Data
Netflix,18,0.414327,172.30.1.250,172.30.1.1,TCP,88,443  >  45434 [ACK] Seq=213 Ack=2671 Win=2094592 Len=0
Netflix,19,0.423599,172.30.1.1,172.30.1.250,TLSv1.3,1144,Application Data
Netflix,20,0.423774,172.30.1.250,172.30.1.1,TCP,88,443  >  45434 [ACK] Seq=213 Ack=3726 Win=2093568 Len=0
