App name,No.,Time,Source,Destination,Protocol,Length,Info
Meet,1,0,172.30.1.1,172.30.1.250,DNS,128,Standard query 0x1dc4 A instantmessaging-pa.googleapis.com
WhatsApp,2,0.097716,172.30.1.1,172.30.1.250,TCP,108,33758  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=415530301 TSecr=0 WS=512
Google Play service,3,0.114642,172.30.1.1,172.30.1.250,DNS,112,Standard query 0x808d A play.googleapis.com
Meet,4,0.186,172.30.1.250,172.30.1.1,DNS,384,Standard query response 0x1dc4 A instantmessaging-pa.googleapis.com A 142.251.40.138 A 142.250.65.234 A 142.250.80.42 A 142.250.64.106 A 142.251.35.170 A 142.251.40.106 A 142.250.65.202 A 142.251.41.10 A 142.251.32.106 A 142.250.80.10 A 142.251.40.170 A 142.250.65.170 A 142.250.80.74 A 142.250.81.234 A 142.250.80.106 A 142.250.72.106
WhatsApp,5,0.186412,172.30.1.250,172.30.1.1,TCP,96,"443  >  33758 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
Google Play service,6,0.186516,172.30.1.250,172.30.1.1,DNS,368,Standard query response 0x808d A play.googleapis.com A 142.250.80.74 A 142.250.65.170 A 142.250.176.202 A 142.251.40.234 A 142.251.32.106 A 142.251.41.10 A 142.250.80.106 A 142.251.40.202 A 142.251.40.138 A 142.251.40.170 A 142.250.65.234 A 142.250.80.10 A 142.250.72.106 A 142.250.80.42 A 142.250.65.202 A 142.250.81.234
WhatsApp,7,0.186756,172.30.1.1,172.30.1.250,TCP,88,33758  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0
Google Play service,8,0.190508,172.30.1.1,172.30.1.250,TCP,108,59502  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=1401907960 TSecr=0 WS=512
WhatsApp,9,0.192028,172.30.1.1,172.30.1.250,TCP,92,"33758  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 [TCP segment of a reassembled PDU]"
WhatsApp,10,0.192399,172.30.1.250,172.30.1.1,TCP,88,443  >  33758 [ACK] Seq=1 Ack=5 Win=2096640 Len=0
