"App name","No.","Time","Source","Destination","Protocol","Length","Info"
"Messenger","1","0.000000","172.30.1.1","172.30.1.250","TCP","108","38112  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM=1 TSval=1970834593 TSecr=0 WS=512"
"Messenger","2","0.051611","172.30.1.250","172.30.1.1","TCP","96","443  >  38112 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
"Messenger","3","0.051730","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"Messenger","4","0.053832","172.30.1.1","172.30.1.250","TLSv1.3","488","Client Hello"
"Messenger","5","0.054048","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=1 Ack=400 Win=2096640 Len=0"
"Messenger","6","0.055015","172.30.1.1","172.30.1.250","TLSv1.3","496","Change Cipher Spec, Application Data"
"Messenger","7","0.055061","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=1 Ack=809 Win=2096128 Len=0"
"Messenger","8","0.119840","172.30.1.250","172.30.1.1","TLSv1.3","2700","Server Hello, Change Cipher Spec, Application Data"
"Messenger","9","0.119978","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=809 Ack=2613 Win=85504 Len=0"
"Messenger","10","0.119989","172.30.1.250","172.30.1.1","TLSv1.3","712","Application Data, Application Data"
"Messenger","11","0.120002","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=809 Ack=3236 Win=91136 Len=0"
"Messenger","12","0.150309","172.30.1.1","172.30.1.250","TLSv1.3","144","Application Data"
"Messenger","13","0.150326","172.30.1.1","172.30.1.250","TLSv1.3","492","Application Data"
"Messenger","14","0.150470","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=3236 Ack=1270 Win=2096640 Len=0"
"Messenger","15","0.212114","172.30.1.250","172.30.1.1","TLSv1.3","340","Application Data, Application Data"
"Messenger","16","0.212241","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=1270 Ack=3489 Win=96256 Len=0"
"Messenger","17","0.212893","172.30.1.1","172.30.1.250","TLSv1.3","120","Application Data"
"Messenger","18","0.212983","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=3489 Ack=1301 Win=2096640 Len=0"
"Messenger","19","0.219886","172.30.1.250","172.30.1.1","TLSv1.3","132","Application Data"
"Messenger","20","0.219968","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=1301 Ack=3533 Win=96256 Len=0"
"Messenger","21","0.232198","172.30.1.250","172.30.1.1","TLSv1.3","168","Application Data"
"Messenger","22","0.232283","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=1301 Ack=3615 Win=96256 Len=0"
"WhatsApp","23","0.273752","172.30.1.1","172.30.1.250","TCP","108","47122  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM=1 TSval=3166231261 TSecr=0 WS=512"
"Messenger","24","0.317034","172.30.1.1","172.30.1.250","TLSv1.3","312","Application Data"
"Messenger","25","0.317270","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=3615 Ack=1526 Win=2096640 Len=0"
"Messenger","26","0.318524","172.30.1.1","172.30.1.250","TLSv1.3","140","Application Data"
"Messenger","27","0.318663","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=3615 Ack=1578 Win=2096640 Len=0"
"Messenger","28","0.325019","172.30.1.1","172.30.1.250","TLSv1.3","348","Application Data"
"Messenger","29","0.325091","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=3615 Ack=1839 Win=2096128 Len=0"
"WhatsApp","30","0.325134","172.30.1.250","172.30.1.1","TCP","96","443  >  47122 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
"WhatsApp","31","0.325195","172.30.1.1","172.30.1.250","TCP","88","47122  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"Messenger","32","0.330107","172.30.1.1","172.30.1.250","TLSv1.3","320","Application Data"
"Messenger","33","0.330259","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=3615 Ack=2070 Win=2096128 Len=0"
"WhatsApp","34","0.331908","172.30.1.1","172.30.1.250","TCP","92","47122  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 [TCP segment of a reassembled PDU]"
"WhatsApp","35","0.332115","172.30.1.250","172.30.1.1","TCP","88","443  >  47122 [ACK] Seq=1 Ack=5 Win=2096640 Len=0"
"WhatsApp","36","0.332177","172.30.1.1","172.30.1.250","SSL","100","Continuation Data"
"WhatsApp","37","0.332231","172.30.1.250","172.30.1.1","TCP","88","443  >  47122 [ACK] Seq=1 Ack=16 Win=2096640 Len=0"
"WhatsApp","38","0.334847","172.30.1.1","172.30.1.250","TCP","92","47122  >  443 [PSH, ACK] Seq=16 Ack=1 Win=65536 Len=3 [TCP segment of a reassembled PDU]"
"WhatsApp","39","0.334988","172.30.1.250","172.30.1.1","TCP","88","443  >  47122 [ACK] Seq=1 Ack=19 Win=2096640 Len=0"
"WhatsApp","40","0.335042","172.30.1.1","172.30.1.250","SSL","352","Continuation Data"
"Messenger","41","0.335060","172.30.1.1","172.30.1.250","TLSv1.3","448","Application Data"
"Messenger","42","0.335107","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=3615 Ack=2429 Win=2095616 Len=0"
"WhatsApp","43","0.335153","172.30.1.250","172.30.1.1","TCP","88","443  >  47122 [ACK] Seq=1 Ack=284 Win=2096640 Len=0"
"Messenger","44","0.337919","172.30.1.1","172.30.1.250","TLSv1.3","408","Application Data"
"Messenger","45","0.337987","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=3615 Ack=2751 Win=2095616 Len=0"
"Messenger","46","0.341246","172.30.1.1","172.30.1.250","TLSv1.3","312","Application Data"
"Messenger","47","0.341388","172.30.1.250","172.30.1.1","TCP","88","443  >  38112 [ACK] Seq=3615 Ack=2976 Win=2095104 Len=0"
"Messenger","48","0.348251","172.30.1.1","172.30.1.250","DNS","120","Standard query 0x0711 A chat-e2ee-mini.facebook.com"
"Messenger","49","0.399555","172.30.1.1","172.30.1.250","DNS","172","Standard query response 0x0711 A chat-e2ee-mini.facebook.com CNAME chat-e2ee-mini.c10r.facebook.com A 157.240.241.37"
"Messenger","50","0.399815","172.30.1.250","172.30.1.1","TLSv1.3","124","Application Data"
"Messenger","51","0.399999","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=2976 Ack=3650 Win=96256 Len=0"
"Messenger","52","0.403424","172.30.1.1","172.30.1.250","TCP","108","34288  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM=1 TSval=1911621896 TSecr=0 WS=512"
"Messenger","53","0.405485","172.30.1.250","172.30.1.1","TLSv1.3","128","Application Data"
"Messenger","54","0.405624","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=2976 Ack=3689 Win=96256 Len=0"
"WhatsApp","55","0.409213","172.30.1.250","172.30.1.1","SSL","200","Continuation Data"
"WhatsApp","56","0.409487","172.30.1.1","172.30.1.250","TCP","88","47122  >  443 [ACK] Seq=284 Ack=115 Win=65536 Len=0"
"Messenger","57","0.409509","172.30.1.250","172.30.1.1","TLSv1.3","124","Application Data"
"Messenger","58","0.412141","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=2976 Ack=3724 Win=96256 Len=0"
"WhatsApp","59","0.414762","172.30.1.1","172.30.1.250","TCP","92","47122  >  443 [PSH, ACK] Seq=284 Ack=115 Win=65536 Len=3 [TCP segment of a reassembled PDU]"
"WhatsApp","60","0.414911","172.30.1.250","172.30.1.1","TCP","88","443  >  47122 [ACK] Seq=115 Ack=287 Win=2096640 Len=0"
"WhatsApp","61","0.414971","172.30.1.1","172.30.1.250","SSL","288","Continuation Data"
"WhatsApp","62","0.415009","172.30.1.250","172.30.1.1","TCP","88","443  >  47122 [ACK] Seq=115 Ack=488 Win=2096640 Len=0"
"WhatsApp","63","0.416701","172.30.1.1","172.30.1.250","TCP","92","47122  >  443 [PSH, ACK] Seq=488 Ack=115 Win=65536 Len=3 [TCP segment of a reassembled PDU]"
"WhatsApp","64","0.416753","172.30.1.250","172.30.1.1","TCP","88","443  >  47122 [ACK] Seq=115 Ack=491 Win=2096640 Len=0"
"WhatsApp","65","0.416931","172.30.1.1","172.30.1.250","SSL","124","Continuation Data"
"WhatsApp","66","0.416972","172.30.1.250","172.30.1.1","TCP","88","443  >  47122 [ACK] Seq=115 Ack=528 Win=2096640 Len=0"
"Messenger","67","0.419846","172.30.1.250","172.30.1.1","TLSv1.3","192","Application Data, Application Data, Application Data"
"Messenger","68","0.420572","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=2976 Ack=3829 Win=96256 Len=0"
"Messenger","69","0.427251","172.30.1.250","172.30.1.1","TLSv1.3","188","Application Data"
"Messenger","70","0.427416","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=2976 Ack=3931 Win=96256 Len=0"
"Messenger","71","0.438256","172.30.1.250","172.30.1.1","TCP","96","5222  >  34288 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
"Messenger","72","0.439132","172.30.1.1","172.30.1.250","TCP","88","34288  >  5222 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"Messenger","73","0.439155","172.30.1.1","172.30.1.250","TCP","92","34288  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 [TCP segment of a reassembled PDU]"
"Messenger","74","0.439441","172.30.1.250","172.30.1.1","TCP","88","5222  >  34288 [ACK] Seq=1 Ack=5 Win=2096640 Len=0"
"Messenger","75","0.440118","172.30.1.1","172.30.1.250","TCP","96","34288  >  5222 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=7 [TCP segment of a reassembled PDU]"
"Messenger","76","0.440205","172.30.1.250","172.30.1.1","TCP","88","5222  >  34288 [ACK] Seq=1 Ack=12 Win=2096640 Len=0"
"Messenger","77","0.440922","172.30.1.1","172.30.1.250","TCP","92","34288  >  5222 [PSH, ACK] Seq=12 Ack=1 Win=65536 Len=4 [TCP segment of a reassembled PDU]"
"Messenger","78","0.440982","172.30.1.250","172.30.1.1","TCP","88","5222  >  34288 [ACK] Seq=1 Ack=16 Win=2096640 Len=0"
"Messenger","79","0.444415","172.30.1.1","172.30.1.250","TCP","1840","34288  >  5222 [PSH, ACK] Seq=16 Ack=1 Win=65536 Len=1752 [TCP segment of a reassembled PDU]"
"Messenger","80","0.444515","172.30.1.250","172.30.1.1","TCP","88","5222  >  34288 [ACK] Seq=1 Ack=1768 Win=2095104 Len=0"
"Messenger","81","0.459992","172.30.1.250","172.30.1.1","TLSv1.3","288","Application Data"
"Messenger","82","0.460086","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=2976 Ack=4133 Win=101376 Len=0"
"WhatsApp","83","0.506494","172.30.1.250","172.30.1.1","SSL","328","Continuation Data"
"WhatsApp","84","0.507132","172.30.1.1","172.30.1.250","TCP","88","47122  >  443 [ACK] Seq=528 Ack=356 Win=67072 Len=0"
"Messenger","85","0.541650","172.30.1.250","172.30.1.1","TLSv1.3","344","Application Data"
"Messenger","86","0.541779","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=2976 Ack=4390 Win=106496 Len=0"
"WhatsApp","87","0.542870","172.30.1.250","172.30.1.1","SSL","124","Continuation Data"
"WhatsApp","88","0.542996","172.30.1.1","172.30.1.250","TCP","88","47122  >  443 [ACK] Seq=528 Ack=393 Win=67072 Len=0"
"Messenger","89","0.545745","172.30.1.250","172.30.1.1","TCP","144","5222  >  34288 [PSH, ACK] Seq=1 Ack=1768 Win=2097152 Len=57 [TCP segment of a reassembled PDU]"
"Messenger","90","0.546163","172.30.1.1","172.30.1.250","TCP","88","34288  >  5222 [ACK] Seq=1768 Ack=58 Win=65536 Len=0"
"Messenger","91","0.549343","172.30.1.250","172.30.1.1","TLSv1.3","420","Application Data"
"Messenger","92","0.549543","172.30.1.1","172.30.1.250","TCP","88","38112  >  443 [ACK] Seq=2976 Ack=4721 Win=111616 Len=0"
