App name,No.,Time,Source,Destination,Protocol,Length,Info
Google Play service,1,0,172.30.1.1,172.30.1.250,DNS,120,Standard query 0x2d25 A voilatile-pa.googleapis.com
Google Play service,2,0.032738,172.30.1.250,172.30.1.1,DNS,376,Standard query response 0x2d25 A voilatile-pa.googleapis.com A 142.250.80.74 A 142.250.80.106 A 142.250.176.202 A 142.251.40.202 A 142.251.40.234 A 172.217.165.138 A 142.250.65.170 A 142.250.65.202 A 142.250.65.234 A 142.250.81.234 A 142.251.41.10 A 142.251.32.106 A 142.251.35.170 A 142.251.40.106 A 142.251.40.138 A 142.251.40.170
WhatsApp,3,0.264762,172.30.1.1,172.30.1.250,TCP,108,54988  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=243103017 TSecr=0 WS=512
WhatsApp,4,0.306882,172.30.1.250,172.30.1.1,TCP,96,"443  >  54988 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
WhatsApp,5,0.307037,172.30.1.1,172.30.1.250,TCP,88,54988  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0
WhatsApp,6,0.311341,172.30.1.1,172.30.1.250,TCP,92,"54988  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 [TCP segment of a reassembled PDU]"
WhatsApp,7,0.311549,172.30.1.250,172.30.1.1,TCP,88,443  >  54988 [ACK] Seq=1 Ack=5 Win=2096640 Len=0
WhatsApp,8,0.31162,172.30.1.1,172.30.1.250,SSL,100,Continuation Data
WhatsApp,9,0.311657,172.30.1.250,172.30.1.1,TCP,88,443  >  54988 [ACK] Seq=1 Ack=16 Win=2096640 Len=0
WhatsApp,10,0.316112,172.30.1.1,172.30.1.250,TCP,92,"54988  >  443 [PSH, ACK] Seq=16 Ack=1 Win=65536 Len=3 [TCP segment of a reassembled PDU]"
WhatsApp,11,0.316225,172.30.1.250,172.30.1.1,TCP,88,443  >  54988 [ACK] Seq=1 Ack=19 Win=2096640 Len=0
WhatsApp,12,0.316291,172.30.1.1,172.30.1.250,SSL,352,Continuation Data
WhatsApp,13,0.316332,172.30.1.250,172.30.1.1,TCP,88,443  >  54988 [ACK] Seq=1 Ack=284 Win=2096640 Len=0
WhatsApp,14,0.39332,172.30.1.250,172.30.1.1,SSL,200,Continuation Data
WhatsApp,15,0.393854,172.30.1.1,172.30.1.250,TCP,88,54988  >  443 [ACK] Seq=284 Ack=115 Win=65536 Len=0
WhatsApp,16,0.398609,172.30.1.1,172.30.1.250,TCP,92,"54988  >  443 [PSH, ACK] Seq=284 Ack=115 Win=65536 Len=3 [TCP segment of a reassembled PDU]"
WhatsApp,17,0.398761,172.30.1.250,172.30.1.1,TCP,88,443  >  54988 [ACK] Seq=115 Ack=287 Win=2096640 Len=0
WhatsApp,18,0.398891,172.30.1.1,172.30.1.250,SSL,328,Continuation Data
WhatsApp,19,0.398942,172.30.1.250,172.30.1.1,TCP,88,443  >  54988 [ACK] Seq=115 Ack=528 Win=2096640 Len=0
WhatsApp,20,0.54922,172.30.1.250,172.30.1.1,SSL,132,Continuation Data
WhatsApp,21,0.549307,172.30.1.1,172.30.1.250,TCP,88,54988  >  443 [ACK] Seq=528 Ack=161 Win=65536 Len=0
WhatsApp,22,0.557391,172.30.1.250,172.30.1.1,SSL,284,Continuation Data
WhatsApp,23,0.557463,172.30.1.1,172.30.1.250,TCP,88,54988  >  443 [ACK] Seq=528 Ack=356 Win=67072 Len=0
WhatsApp,24,0.623206,172.30.1.250,172.30.1.1,SSL,124,Continuation Data
WhatsApp,25,0.62337,172.30.1.1,172.30.1.250,TCP,88,54988  >  443 [ACK] Seq=528 Ack=393 Win=67072 Len=0
Messenger,26,2.836886,172.30.1.1,172.30.1.250,DNS,108,Standard query 0x1b39 A web.facebook.com
Messenger,27,2.842272,172.30.1.1,172.30.1.250,TCP,108,37150  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=553149746 TSecr=0 WS=512
Messenger,28,2.951009,172.30.1.250,172.30.1.1,DNS,168,Standard query response 0x1b39 A web.facebook.com CNAME star.facebook.com CNAME star.c10r.facebook.com A 157.240.241.17
Messenger,29,2.95144,172.30.1.250,172.30.1.1,TCP,96,"443  >  37150 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
Messenger,30,2.951613,172.30.1.1,172.30.1.250,TCP,88,37150  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0
Messenger,31,2.955009,172.30.1.1,172.30.1.250,TLSv1.3,496,Client Hello
Messenger,32,2.955273,172.30.1.250,172.30.1.1,TCP,88,443  >  37150 [ACK] Seq=1 Ack=411 Win=2096640 Len=0
Messenger,33,2.993279,172.30.1.250,172.30.1.1,TLSv1.3,300,"Server Hello, Change Cipher Spec, Application Data"
Messenger,34,2.993589,172.30.1.1,172.30.1.250,TCP,88,37150  >  443 [ACK] Seq=411 Ack=213 Win=67072 Len=0
Messenger,35,2.995151,172.30.1.1,172.30.1.250,TLSv1.3,164,"Change Cipher Spec, Application Data"
Messenger,36,2.995233,172.30.1.250,172.30.1.1,TCP,88,443  >  37150 [ACK] Seq=213 Ack=487 Win=2096640 Len=0
Messenger,37,2.996265,172.30.1.1,172.30.1.250,TLSv1.3,1532,Application Data
Messenger,38,2.996343,172.30.1.250,172.30.1.1,TCP,88,443  >  37150 [ACK] Seq=213 Ack=1933 Win=2095616 Len=0
Messenger,39,3.022837,172.30.1.250,172.30.1.1,TLSv1.3,340,"Application Data, Application Data"
Messenger,40,3.023044,172.30.1.1,172.30.1.250,TCP,88,37150  >  443 [ACK] Seq=1933 Ack=466 Win=68096 Len=0
Messenger,41,3.023938,172.30.1.1,172.30.1.250,TLSv1.3,124,Application Data
Messenger,42,3.023991,172.30.1.250,172.30.1.1,TCP,88,443  >  37150 [ACK] Seq=466 Ack=1971 Win=2095616 Len=0
Messenger,43,3.045486,172.30.1.250,172.30.1.1,TLSv1.3,132,Application Data
Messenger,44,3.045651,172.30.1.1,172.30.1.250,TCP,88,37150  >  443 [ACK] Seq=1971 Ack=510 Win=68096 Len=0
Messenger,45,3.078116,172.30.1.250,172.30.1.1,TLSv1.3,1040,Application Data
Messenger,46,3.078269,172.30.1.1,172.30.1.250,TCP,88,37150  >  443 [ACK] Seq=1971 Ack=1463 Win=69632 Len=0
Google Play service,47,3.905466,172.30.1.1,172.30.1.250,DNS,116,Standard query 0xee97 A android.googleapis.com
Google Play service,48,3.983825,172.30.1.250,172.30.1.1,DNS,372,Standard query response 0xee97 A android.googleapis.com A 172.217.165.138 A 142.250.65.170 A 142.250.65.202 A 142.250.65.234 A 142.250.81.234 A 142.251.41.10 A 142.251.32.106 A 142.251.35.170 A 142.251.40.106 A 142.251.40.138 A 142.251.40.170 A 142.250.72.106 A 142.250.80.10 A 142.250.80.42 A 142.250.80.74 A 142.250.80.106
Google Play service,49,3.990997,172.30.1.1,172.30.1.250,TCP,108,59080  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=2331098206 TSecr=0 WS=512
Google Play service,50,4.003993,172.30.1.1,172.30.1.250,TCP,108,59084  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=2331098220 TSecr=0 WS=512
Google Play service,51,4.016778,172.30.1.250,172.30.1.1,TCP,96,"443  >  59080 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
Google Play service,52,4.016877,172.30.1.1,172.30.1.250,TCP,88,59080  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0
Google Play service,53,4.019578,172.30.1.1,172.30.1.250,TLSv1.3,632,Client Hello
